name,pct_high_needs,funding_14_15,funding_est_15_16,is_charter
Competitive Edge Charter Academy (CECA),30,7290,8771,TRUE
Compton Unified,88,9699,11909,FALSE
Conejo Valley Unified,25,7803,9334,FALSE
Connect Community Charter,74,8510,10155,TRUE
Connecting Waters Charter,45,7829,9499,TRUE
Connections Visual and Performing Arts Academy,19,8200,9856,TRUE
Conservation Corps of Long Beach Gateway Cities Charter,98,9625,12290,TRUE
Conservatory of Vocal/Instrumental Arts,66,8032,9816,FALSE
Corcoran Joint Unified,93,9510,12039,FALSE
CORE Butte Charter,43,7976,9668,TRUE
CORE Placer Charter,41,8016,9593,TRUE
Cornerstone Academy Preparatory,86,8875,11174,TRUE
Corning Union Elementary,89,9038,11296,FALSE
Corning Union High,76,9938,12287,FALSE
Corona-Norco Unified,48,7898,9631,FALSE
Coronado Pathways Charter,4,7989,9772,TRUE
Coronado Unified,9,7549,9063,FALSE
Cotati-Rohnert Park Unified,49,8001,9662,FALSE
Cottonwood Creek Charter,36,7367,8873,TRUE
Cottonwood Union Elementary,56,8026,9624,FALSE
County Collaborative Charter,65,8665,10278,TRUE
Covina-Valley Unified,71,8904,10902,FALSE
Cox Academy,95,9013,10942,TRUE
Creative Arts Charter,24,7286,8675,TRUE
Creative Connections Arts Academy,65,8211,10107,TRUE
Credo High,31,8574,10304,FALSE
Creekside Charter,20,7171,8632,TRUE
Crenshaw Arts-Technology Charter High,91,10305,12830,TRUE
Crescent Valley Public Charter,89,10394,13091,TRUE
Crescent View South Charter,87,10239,12817,TRUE
Crescent View West Charter,89,10399,13074,TRUE
Crossroads Charter,70,9119,11271,TRUE
Crown Preparatory Academy,97,8664,10729,TRUE
Cucamonga Elementary,79,8562,10686,FALSE
Cuddeback Union Elementary,46,8147,9393,FALSE
Culver City Unified,41,7909,9464,FALSE
Cupertino Union Elementary,16,7185,8608,FALSE
Curtis Creek Elementary,57,8385,9819,FALSE
Cutler-Orosi Joint Unified,97,9817,12302,FALSE
Cutten Elementary,45,7687,9227,FALSE
Cuyama Joint Unified,80,11777,13814,FALSE
Cypress Charter High,13,8297,9944,TRUE
Cypress Elementary,44,7516,9095,FALSE
Da Vinci Charter Academy,11,7928,9425,TRUE
Da Vinci Communications High,42,8508,10503,FALSE
Da Vinci Design,46,8708,10581,FALSE
Da Vinci Innovation Academy,7,7105,8438,TRUE
Da Vinci Science,46,8716,10577,FALSE
Darby Avenue Charter,37,8044,8963,TRUE
Darnall Charter,93,8516,10189,TRUE
Davis Joint Unified,27,7701,9252,FALSE
Dearborn Elementary Charter Academy,49,7564,9234,TRUE
Death Valley Unified,60,27148,30882,FALSE
Dehesa Charter,24,7494,9040,TRUE
Dehesa Elementary,52,8081,9572,FALSE
Del Norte County Unified,65,8673,10573,FALSE
Del Vista Math and Science Academy,97,9222,11573,TRUE
Delano Joint Union High,88,10807,13263,FALSE
Delano Union Elementary,92,9500,11720,FALSE
Delhi Unified,89,9388,11780,FALSE
Delphic Elementary,74,8967,10327,FALSE
Delta Charter,52,8449,10192,TRUE
Delta Charter,34,8558,10350,TRUE
Delta Elementary Charter,32,7364,8858,TRUE
Denair Academic Avenues,40,7435,9020,FALSE
Denair Charter Academy,62,8930,11008,TRUE
Denair Unified,63,8755,10389,FALSE
Desert Sands Charter,84,10194,12759,TRUE
Desert Sands Unified,73,8757,10929,FALSE
Desert Trails Preparatory Academy,95,8887,11337,TRUE
