AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	Charter	ReportingCategory	CumulativeEnrollment
2022-23	C	09			El Dorado			All	RH	6873
2022-23	C	09			El Dorado			All	RI	266
2022-23	C	09			El Dorado			All	RP	74
2022-23	C	09			El Dorado			All	RT	1835
2022-23	C	09			El Dorado			All	RW	20968
2022-23	C	09			El Dorado			All	SD	5028
2022-23	C	09			El Dorado			All	SE	2150
2022-23	C	09			El Dorado			All	SF	212
2022-23	C	09			El Dorado			All	SH	855
2022-23	C	09			El Dorado			All	SM	*
2022-23	C	09			El Dorado			All	SS	11274
2022-23	C	09			El Dorado			All	TA	32510
2022-23	C	09			El Dorado			No 	GF	11489
2022-23	C	09			El Dorado			No 	GM	12306
2022-23	C	09			El Dorado			No 	GX	44
2022-23	C	09			El Dorado			No 	RA	1076
2022-23	C	09			El Dorado			No 	RB	199
2022-23	C	09			El Dorado			No 	RD	100
2022-23	C	09			El Dorado			No 	RF	354
2022-23	C	09			El Dorado			No 	RH	5590
2022-23	C	09			El Dorado			No 	RI	230
2022-23	C	09			El Dorado			No 	RP	53
2022-23	C	09			El Dorado			No 	RT	1200
2022-23	C	09			El Dorado			No 	RW	15037
2022-23	C	09			El Dorado			No 	SD	3930
2022-23	C	09			El Dorado			No 	SE	1701
2022-23	C	09			El Dorado			No 	SF	127
2022-23	C	09			El Dorado			No 	SH	737
2022-23	C	09			El Dorado			No 	SM	*
2022-23	C	09			El Dorado			No 	SS	8178
2022-23	C	09			El Dorado			No 	TA	23839
2022-23	C	09			El Dorado			Yes	GF	4484
2022-23	C	09			El Dorado			Yes	GM	4484
2022-23	C	09			El Dorado			Yes	GX	18
2022-23	C	09			El Dorado			Yes	RA	337
2022-23	C	09			El Dorado			Yes	RB	138
2022-23	C	09			El Dorado			Yes	RD	237
2022-23	C	09			El Dorado			Yes	RF	69
2022-23	C	09			El Dorado			Yes	RH	1344
2022-23	C	09			El Dorado			Yes	RI	41
2022-23	C	09			El Dorado			Yes	RP	21
2022-23	C	09			El Dorado			Yes	RT	649
2022-23	C	09			El Dorado			Yes	RW	6150
